staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
33,0.5,2.0,34.46951470011845,,34.45383850019425,34.46951470011845,34.969610000029206,34.969610000029206,34.969610000029206,35.26929990015924,35.45334460027516,right,2.0,1,1,0.46853499999269843,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
34,0.5,2.0,35.46970089990646,,35.453517000190914,35.46970089990646,35.952350300271064,35.952350300271064,35.96931149996817,36.252161799930036,36.57028920017183,left,-2.0,1,1,0.6034900001250207,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
35,0.5,2.0,36.58543850015849,,36.57052000006661,36.58543850015849,37.08634730009362,37.08634730009362,37.08634730009362,37.402025000192225,37.56960460031405,right,2.0,1,1,0.47482920018956065,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
36,0.5,1.5,37.58541260007769,,37.56978560006246,37.58541260007769,38.08474690001458,38.08474690001458,38.08474690001458,38.38514479994774,38.58562979986891,left,-1.5,0,0,0.49254450015723705,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
37,0.5,2.0,38.60148630011827,,38.58582179993391,38.60148630011827,39.10135450027883,39.10135450027883,39.10135450027883,39.40260630007833,39.53522439999506,right,2.0,1,1,0.43002159986644983,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
38,0.5,2.0,39.55211069993675,,39.53539490001276,39.55211069993675,40.034674800001085,40.034674800001085,40.0507171000354,40.33381080022082,40.568501099944115,right,2.0,1,1,0.5303862998262048,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
39,0.5,2.0,40.58452680008486,,40.56870820000768,40.58452680008486,41.08339070016518,41.08339070016518,41.08339070016518,41.38354970002547,41.53416020004079,right,2.0,1,1,0.439013599883765,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
40,0.5,1.5,41.55024480028078,,41.53435860015452,41.55024480028078,42.0339577998966,42.0339577998966,42.05050260014832,42.333338300231844,42.684027099981904,left,-1.5,0,0,0.6482211998663843,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
41,0.5,2.0,42.70014759991318,,42.68420109990984,42.70014759991318,43.1994868000038,43.1994868000038,43.1994868000038,43.49929070007056,44.016631400212646,left,-2.0,1,1,0.8085845001041889,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
42,0.5,2.0,44.0322397002019,,44.01679980009794,44.0322397002019,44.53221599990502,44.53221599990502,44.53221599990502,44.83195490017533,45.1501309000887,left,-2.0,1,1,0.6143105998635292,820285,001,2024-11-04_06h07.16.257,cw_6sept,2024.2.1,59.46869479823103,2024-11-04 06h07.20.699345 +0530,
